INFO 2024-09-28 01:52:50,902 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-28 01:52:50,904 autoreload Waiting for apps ready_event.
DEBUG 2024-09-28 01:52:50,976 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-28 01:52:51,007 autoreload Watching dir E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-09-28 01:52:51,008 autoreload Watching dir E:\New folder (2)\Inventory Management System\Inventory_System_management\locale with glob **/*.mo.
DEBUG 2024-09-28 01:52:51,008 autoreload Watching dir E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-09-28 01:52:51,010 autoreload Watching dir E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-09-28 01:52:51,010 autoreload Watching dir E:\New folder (2)\Inventory Management System\Inventory_System_management\inventron\locale with glob **/*.mo.
DEBUG 2024-09-28 01:52:51,011 autoreload Watching dir E:\New folder (2)\Inventory Management System\Inventory_System_management\authentication\locale with glob **/*.mo.
DEBUG 2024-09-28 01:52:51,169 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-09-28 01:52:51,175 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
